,0
0,0.16878457873501296
1,0.020138704112314186
2,0.014326317860153252
3,0.01765842479193633
4,0.014636784776226099
5,0.005127288673826982
6,0.0024907097425327317
7,0.045530620686990424
8,0.03068959807619937
9,0.009217688902083387
10,0.0033439115301266077
11,0.003820471867430803
12,0.009878158367759371
13,0.012253013935840884
14,0.011541539134811514
15,0.014019125306387104
16,0.014089890208210576
17,0.011650167821507433
18,0.01219350985833327
19,0.011308887994199497
20,0.01007851454757239
21,0.01205097230640193
22,0.012248434429909583
23,0.012426607820291237
24,0.09626484239324486
25,0.12292868490409845
26,0.14053159343659258
27,0.14062367868536405
28,0.010883526367817711
29,0.009263752726824304
